"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
0	0	0	0	0	0	0	0	0	0	0.1	0	0.722222222222222	0.633333333333333	0.455555555555556	0	1.26666666666667	0.277777777777778	0.188888888888889	1.9
0	0	0	0	0	0	0	0	0	0	5.7	10.2	17.7777777777778	20.1666666666667	27.3333333333333	36.4777777777778	37.3666666666667	37.5555555555556	41.5555555555556	45.9
23	20	14	18	17	26	19	25	12	28	20.7	13.7888888888889	15.1666666666667	11.4	8.71111111111111	12.3	7.7	6.94444444444444	4.15555555555556	1.7
0	0	0	0	0	0	0	0	0	0	0	0.188888888888889	0	0	0	0.544444444444445	1	0	0.811111111111111	0
1	0	0	0	1	0	0	0	1	0	348.5	636.744444444444	995.833333333333	1280.03333333333	1512.9	1783.05555555556	2099.5	2358.33333333333	2751.28888888889	2982
452	473	364	469	406	427	469	421	441	460	348.4	308.222222222222	289.611111111111	260.933333333333	239.555555555556	192.7	187.533333333333	109.444444444444	82.9222222222222	45
18	21	23	16	15	14	16	22	16	11	1781.3	2857.37777777778	4354.77777777778	5555.53333333333	6066.05555555556	10193.9333333333	9308.23333333333	9508.55555555555	11243.1555555556	13580.1
0	0	0	1	0	0	0	0	0	0	5.4	8.87777777777778	15.8333333333333	23.4666666666667	25.5111111111111	33.2111111111111	44.3333333333333	49.1111111111111	57.5888888888889	56.7
60	55	54	70	63	58	57	67	51	48	45	54.3444444444444	50.5555555555556	25.9666666666667	35.3888888888889	25.5111111111111	22.3666666666667	17.3888888888889	11.1444444444444	4.7
8	5	5	6	0	4	6	3	7	5	243.6	521.8	803.777777777778	1039	1360.1	1462.11111111111	1972.76666666667	1945	2162.74444444444	2232.8
201	199	240	217	216	210	213	217	228	212	210.7	176.822222222222	146.611111111111	134.366666666667	107.255555555556	93.9333333333333	74.0666666666667	56.3888888888889	42.5555555555556	18.9
2613	2460	2577	2682	2577	2375	2521	2319	2328	2762	2063.7	2241.23333333333	1757.38888888889	1800.6	1449.68888888889	1188.06666666667	1016.23333333333	737.777777777778	456.5	289.4
203	226	234	193	225	216	257	205	198	259	230.4	164.655555555556	138.944444444444	141.6	113.788888888889	99.8555555555556	89	67.3888888888889	37.9666666666667	21.8
0	0	0	1	2	2	0	1	2	1	22.4	45.9555555555556	75.5555555555556	98.2666666666667	150.788888888889	156.255555555556	174.9	166.111111111111	202.155555555556	238.8
288	334	322	266	317	315	275	291	298	276	295.3	235.222222222222	211.888888888889	159.966666666667	150.088888888889	130.288888888889	107.7	76.6111111111111	58.1	30.7
249	214	217	252	254	237	230	249	268	225	228.9	211.7	167.555555555556	184.033333333333	142.377777777778	113.611111111111	84.6	73.2222222222222	44.0111111111111	22
0	0	1	1	2	0	1	0	0	2	16.4	21.9111111111111	42.3888888888889	55.3666666666667	76.6222222222222	80.5777777777778	100.066666666667	119.888888888889	118.422222222222	108
1	3	0	0	1	4	3	1	2	0	27.9	48.4666666666667	75.4444444444445	86.5333333333333	115.066666666667	149.088888888889	166.3	194.111111111111	204.588888888889	265.6
1691	1816	2159	1823	2075	1869	1887	2099	1808	1600	1656.4	1482.86666666667	1594.77777777778	1033.93333333333	911.144444444444	817.788888888889	684.233333333333	558.333333333333	376.333333333333	199.1
771	750	771	692	793	891	769	795	800	858	803.1	709.044444444444	568.333333333333	445.433333333333	491.377777777778	403.977777777778	288.066666666667	252.5	154.922222222222	86.2
13	13	15	15	12	19	9	11	14	10	11.7	12.1666666666667	12.2777777777778	6.96666666666667	6.53333333333333	10.5666666666667	4.4	2.77777777777778	2.26666666666667	1.9
1	1	3	0	2	1	2	2	0	0	11.9	28.5	36.9444444444444	60.3	70.3333333333333	82.9444444444445	76.7333333333333	124.5	115.744444444444	127.8
3	3	0	1	3	2	0	4	0	0	22.8	39.5666666666667	50.6111111111111	76.9666666666667	69.7888888888889	98.8222222222222	132.933333333333	137.166666666667	141.266666666667	162.9
274	281	267	288	262	294	260	239	275	281	269.3	195.233333333333	180.944444444444	180.866666666667	155.444444444444	142.677777777778	99.4333333333334	70.2222222222222	48.0333333333333	30.1
3186	3727	3882	3369	2981	3857	3455	3461	3254	3104	2989.5	2947.94444444444	2567.22222222222	2399.66666666667	2006.5	1605.03333333333	1207.03333333333	1146.61111111111	577.344444444444	369.6
288	351	316	294	333	309	340	297	313	304	301.8	222	204.333333333333	177.433333333333	182.666666666667	145.866666666667	97.2333333333333	97.1666666666667	58.6666666666667	38.4
35	45	43	41	52	45	47	44	40	41	32.5	37.3111111111111	32.5	26.9666666666667	20.6888888888889	16.8555555555556	16.7666666666667	10	6.23333333333333	4.5
0	0	1	1	1	3	3	2	1	2	17.8	28.0111111111111	32.5	63.7	71.1555555555556	85.9333333333333	75.7333333333333	107	146.377777777778	111.6
9	12	9	8	7	11	5	16	14	15	8.1	7.3	5.77777777777778	6.33333333333333	4.35555555555556	6.92222222222222	4.76666666666667	3.88888888888889	3.02222222222222	1.2
1490	1583	1305	1573	1616	1375	1506	1762	1307	1401	1239.6	1223.31111111111	1104.44444444444	891.8	686.211111111111	671.011111111111	581.3	402.111111111111	273.455555555556	162.7
5	4	7	6	8	5	7	7	3	10	73.4	119.522222222222	167	240.2	288.255555555556	376.311111111111	376.766666666667	424.055555555556	513.377777777778	605.4
14	18	17	16	25	16	23	16	26	24	13.7	12.1666666666667	18.7777777777778	13.9333333333333	10.8888888888889	6.83333333333333	6.96666666666667	5.27777777777778	4.72222222222222	1.6
0	0	0	1	0	0	0	2	0	0	1.7	3.4	7.5	11.3666666666667	10.4777777777778	8.71111111111111	17.7333333333333	20.2222222222222	19.4666666666667	25.5
513	510	471	475	555	523	496	518	496	457	465.5	418.233333333333	398.111111111111	325.733333333333	282.122222222222	207.433333333333	198.133333333333	124.888888888889	105.355555555556	50.2
0	3	0	0	0	1	1	1	2	3	9.4	15.3555555555556	23.6111111111111	32.4333333333333	43	57.6222222222222	60.2666666666667	58.7777777777778	67.3222222222222	75.9
88	66	96	71	59	52	83	70	74	60	62.2	53.4777777777778	40.7222222222222	40.2666666666667	51	28.7	25.9333333333333	23.2222222222222	14.3888888888889	6.3
2	0	1	0	1	1	1	1	0	0	2.7	5.1	9.72222222222222	20.4333333333333	15.5777777777778	14.6111111111111	19.7333333333333	28.1666666666667	29.3888888888889	25.2
2	2	2	3	2	1	0	2	0	1	6.9	16.1666666666667	18.5	21.8	29.7	39.3888888888889	38.7333333333333	36.3888888888889	66.8888888888889	39.7
0	3	2	2	3	4	3	4	2	2	11.4	15.3	25.5	35.9333333333333	40.3555555555556	53.0888888888889	62.1666666666667	68.1666666666667	82.8666666666667	87.5
89	67	70	63	72	84	71	65	65	73	66.9	70.1333333333333	66.2777777777778	51.7666666666667	43.0111111111111	29.0555555555556	33.3666666666667	23.0555555555556	20.3222222222222	9.5
1	2	0	3	1	2	1	1	1	1	6.5	7.04444444444444	13.1666666666667	16.6666666666667	18.1222222222222	23.8666666666667	29.9666666666667	35.6666666666667	28.3888888888889	29.7
6	10	5	9	6	14	10	13	13	8	38	52.2555555555556	84.0555555555556	107	110.033333333333	144.655555555556	186.7	184	228.377777777778	229.8
51	47	52	67	53	63	43	49	55	60	52.4	46.4222222222222	40.5555555555556	25.7	31.4888888888889	19.4	19.1333333333333	10.6111111111111	9.55555555555556	4.6
26	20	31	35	15	20	21	22	38	19	36	22.7111111111111	20.6111111111111	12.0333333333333	17.2444444444444	11.0222222222222	12.8333333333333	6.55555555555556	4.72222222222222	4.2
50	57	45	35	52	57	67	59	61	61	54	44.1777777777778	54.8888888888889	46.9666666666667	33.4	38.6222222222222	17.4	15.7777777777778	12.9	6.6
7	14	16	12	9	6	13	9	7	12	37.6	61.1888888888889	91.2222222222222	127.5	133.888888888889	159.188888888889	164.266666666667	180.166666666667	263.2	260.8
8	8	10	17	15	10	13	7	9	9	1.8	5.05555555555556	5.05555555555556	3.16666666666667	5.81111111111111	2.73333333333333	4.3	3.05555555555556	0.944444444444444	0.7
49	46	43	42	44	48	49	40	39	50	30.8	32.8222222222222	27.1111111111111	30.1333333333333	22.7777777777778	21.9555555555556	15.0333333333333	9.05555555555556	11.5	7.3
143	123	111	116	120	140	162	116	130	136	127.1	102.766666666667	93.2222222222222	94.3	85.8555555555556	66.8666666666667	49.6333333333333	42.1666666666667	28.3111111111111	21.2
1	2	2	1	1	1	1	2	2	2	3.8	10.1222222222222	11.1111111111111	18.5	18.4	17.7	26.4333333333333	25.5555555555556	23.9	34.3
87	82	86	111	89	98	96	95	93	92	88.5	64.4	66.5555555555555	63.1666666666667	45.1888888888889	39.1666666666667	26.3666666666667	25.7222222222222	21.5666666666667	13.2
4	0	1	4	4	2	2	3	1	4	3.6	2.43333333333333	1.44444444444444	3.53333333333333	1.08888888888889	0.911111111111111	1.1	0.555555555555556	0	0.4
6	4	7	10	7	8	1	6	6	4	16.1	28.6666666666667	37.5555555555556	49.0666666666667	53.2888888888889	83.6777777777778	83.2	97.4444444444444	91.7333333333333	115.9
9	15	14	8	6	11	15	12	15	17	13.6	10.7333333333333	6.5	9.5	4.9	5.1	7.86666666666667	2.5	2.26666666666667	2.3
11	11	12	6	9	11	9	13	8	9	6.3	13.1666666666667	6.5	4.16666666666667	7.07777777777778	3.73333333333333	3.66666666666667	3.5	4.02222222222222	0.7
4	4	5	6	4	8	2	3	7	5	12.3	21.3222222222222	22.7222222222222	34.7333333333333	48.1888888888889	52.1777777777778	66.0666666666667	46.7777777777778	74.1888888888889	91.4
115	116	134	123	122	117	113	135	132	118	101.5	112.255555555556	84.4444444444444	67.2333333333333	64.1666666666667	58.2	40.3	39.2777777777778	27.6444444444444	21.8
295	259	228	223	260	293	262	270	270	261	731.5	1055.45555555556	1568.66666666667	2091.86666666667	2441.25555555556	2796.53333333333	3070.66666666667	3635.66666666667	3809.88888888889	4193.3
10	8	7	9	6	11	8	6	6	5	21.4	33.3666666666667	40.9444444444444	54.8666666666667	61.4888888888889	79.0444444444445	74.1333333333333	100.611111111111	119.933333333333	107.3
6	4	7	4	3	9	3	9	4	3	4.5	3.24444444444444	6.05555555555556	3.16666666666667	6.98888888888889	2.82222222222222	1.1	2.5	1.13333333333333	0.6
0	0	1	0	0	1	0	0	1	0	1.3	2.32222222222222	1.94444444444444	2.2	1.82222222222222	2.72222222222222	4.16666666666667	3.61111111111111	3.43333333333333	2.8
3	2	1	2	4	3	5	0	2	2	5.7	11.9888888888889	12.5555555555556	14.0666666666667	22.1222222222222	17.3333333333333	30.5	27.5555555555556	37.5	38
31	51	39	33	46	36	32	48	46	36	89.4	159.177777777778	209.888888888889	237.8	284.733333333333	369.133333333333	455.666666666667	498.166666666667	497.144444444444	647.6
27	19	24	20	16	24	18	21	14	19	23	23.0888888888889	13.7222222222222	16.5666666666667	12.5222222222222	10.1111111111111	10.8	7.94444444444444	6.66666666666667	1.6
0	4	6	3	5	5	4	5	4	6	7.2	12.2	21.0555555555556	22.0666666666667	28.2444444444444	23.7777777777778	32.4	51.5	52.2888888888889	65.9
15	12	18	19	20	17	14	17	13	17	35.8	46.4	75.2222222222222	74.9666666666667	113.577777777778	128.988888888889	134.5	172	161	219.3
